,Date,Open,High,Low,Close,Adj Close,Volume,Name
0,2010-04-26,12.98,12.98,12.2,12.68,12.68,62866,AB.PA
1,2010-04-27,12.74,12.83,12.61,12.7,12.7,22370,AB.PA
2,2010-04-28,12.7,12.7,12.41,12.5,12.5,8211,AB.PA
3,2010-04-29,12.6,12.65,12.46,12.64,12.64,4676,AB.PA
4,2010-04-30,12.63,12.71,12.55,12.65,12.65,4470,AB.PA
5,2010-05-03,12.7,12.73,12.52,12.65,12.65,3656,AB.PA
6,2010-05-04,12.65,12.65,12.5,12.5,12.5,4532,AB.PA
7,2010-05-05,12.51,12.64,12.43,12.63,12.63,3488,AB.PA
8,2010-05-06,12.65,12.65,12.47,12.47,12.47,1930,AB.PA
9,2010-05-07,12.45,12.65,12.0,12.0,12.0,20121,AB.PA
10,2010-05-10,12.0,12.62,12.0,12.2,12.2,3090,AB.PA
11,2010-05-11,12.44,12.61,12.35,12.6,12.6,4788,AB.PA
12,2010-05-12,12.53,12.6,12.36,12.36,12.36,1028,AB.PA
13,2010-05-13,12.37,12.5,12.37,12.5,12.5,808,AB.PA
14,2010-05-14,12.51,12.55,12.36,12.48,12.48,2189,AB.PA
15,2010-05-17,12.5,12.55,12.05,12.51,12.51,3049,AB.PA
16,2010-05-18,12.4,12.5,12.1,12.1,12.1,2540,AB.PA
17,2010-05-19,12.51,12.51,12.12,12.5,12.5,1880,AB.PA
18,2010-05-20,12.49,12.5,12.0,12.0,12.0,3910,AB.PA
19,2010-05-21,11.5,11.96,9.88,11.96,11.96,2549,AB.PA
20,2010-05-24,10.81,11.92,10.81,11.86,11.86,1198,AB.PA
21,2010-05-25,10.68,11.84,10.68,10.68,10.68,3477,AB.PA
22,2010-05-26,11.1,11.59,11.0,11.59,11.59,851,AB.PA
23,2010-05-27,11.6,11.9,11.6,11.9,11.9,1000,AB.PA
24,2010-05-28,12.15,12.15,12.0,12.15,12.15,1405,AB.PA
25,2010-05-31,12.16,12.75,12.15,12.7,12.7,7871,AB.PA
26,2010-06-01,12.72,12.72,12.61,12.61,12.61,521,AB.PA
27,2010-06-02,11.8,12.6,11.8,12.6,12.6,929,AB.PA
28,2010-06-03,11.91,12.5,11.86,12.3,12.3,2261,AB.PA
29,2010-06-04,11.93,12.45,11.92,12.45,12.45,222,AB.PA
30,2010-06-07,11.95,11.95,11.67,11.67,11.67,415,AB.PA
31,2010-06-08,11.95,11.95,11.05,11.63,11.63,1486,AB.PA
32,2010-06-09,11.07,11.62,11.07,11.62,11.62,130,AB.PA
33,2010-06-10,11.6,11.6,11.6,11.6,11.6,10,AB.PA
34,2010-06-11,11.06,11.6,10.56,11.0,11.0,822,AB.PA
35,2010-06-14,12.1,12.2,10.99,11.98,11.98,2237,AB.PA
36,2010-06-15,12.0,12.0,12.0,12.0,12.0,90,AB.PA
37,2010-06-16,11.97,12.0,11.7,11.93,11.93,1812,AB.PA
38,2010-06-17,11.99,12.0,11.99,12.0,12.0,216,AB.PA
39,2010-06-18,11.91,11.91,11.9,11.9,11.9,1292,AB.PA
40,2010-06-21,12.03,12.03,11.79,11.79,11.79,2598,AB.PA
41,2010-06-22,11.5,12.0,11.5,12.0,12.0,1673,AB.PA
42,2010-06-23,11.5,12.0,11.5,11.5,11.5,1180,AB.PA
43,2010-06-24,12.0,12.0,11.55,12.0,12.0,2500,AB.PA
44,2010-06-25,12.0,12.0,11.41,11.9,11.9,1678,AB.PA
45,2010-06-28,11.9,11.9,11.9,11.9,11.9,200,AB.PA
46,2010-06-29,11.9,11.99,11.4,11.9,11.9,3986,AB.PA
47,2010-06-30,11.88,12.0,11.87,12.0,12.0,2859,AB.PA
48,2010-07-01,11.42,12.0,11.42,12.0,12.0,942,AB.PA
49,2010-07-02,11.65,12.0,11.5,12.0,12.0,2075,AB.PA
50,2010-07-05,11.95,11.95,11.88,11.9,11.9,837,AB.PA
51,2010-07-06,11.85,11.88,11.52,11.88,11.88,1924,AB.PA
52,2010-07-07,11.6,11.8,11.52,11.8,11.8,1178,AB.PA
53,2010-07-08,11.9,11.99,11.9,11.9,11.9,817,AB.PA
54,2010-07-09,11.9,11.95,11.6,11.6,11.6,588,AB.PA
55,2010-07-12,11.95,11.95,11.95,11.95,11.95,50,AB.PA
56,2010-07-13,11.95,11.95,11.66,11.84,11.84,717,AB.PA
57,2010-07-14,11.83,11.83,11.65,11.65,11.65,132,AB.PA
